MATR_ALUNO,ANO,PERIODO,n_disciplinas_anteriores,taxa_aprovacao_historica,n_reprovacoes_historico,disciplina_ja_cursada,n_vezes_disciplina,MEDIA_FINAL_PRED,NUM_FALTAS_PRED,disc_1,disc_2,disc_3,disc_4,disc_5,TARGET
102,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
103,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
103,2015,1,1,1.0,0,False,0,71.34628809999656,11.019540761575998,0,0,0,1,0,APROVADO
104,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
104,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
104,2014,1,2,0.0,2,True,1,56.15637566137569,18.07395238095237,0,1,0,0,0,APROVADO
104,2013,1,2,0.0,2,True,1,31.320222222222224,18.657904761904767,0,0,0,0,1,REPROVADO
104,2013,2,4,0.25,3,True,2,60.426313439780834,11.315904761904763,0,0,0,0,1,APROVADO
105,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
106,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
106,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
106,2013,1,0,0.5,0,False,0,60.37452032128607,19.011270365930955,0,0,0,0,1,APROVADO
107,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
